일자(원본),활동 유형,설명,량,단위
2025-01-01,전기,한국전력,110,kWh
2025-02-01,전기,한국전력,112,kWh
2025-03-01,전기,한국전력,115,kWh
2025-04-01,전기,한국전력,130,kWh
2025-05-01,전기,한국전력,120,kWh
2025-06-01,전기,한국전력,110,kWh
2025-07-01,전기,한국전력,120,kWh
2025-08-01,전기,한국전력,111,kWh
2025-05-01,전기,한국전력,101,kWh
2025-01-01,원소재,플라스틱 1,230,kg
2025-02-01,원소재,플라스틱 1,340,kg
2025-03-01,원소재,플라스틱 2,23,kg
2025-03-01,원소재,플라스틱 1,430,kg
2025-04-01,원소재,플라스틱 1,510,kg
2025-05-01,원소재,플라스틱 1,424,kg
2025-05-01,원소재,플라스틱 2,40,kg
2025-06-01,원소재,플라스틱 1,450,kg
2025-07-01,원소재,플라스틱 1,340,kg
2025-07-01,원소재,플라스틱 2,43,kg
2025-08-01,원소재,플라스틱 1,230,kg
2025-05-01,원소재,플라스틱 1,232,kg
2025-01-01,운송,트럭,41,ton-km
2025-02-01,운송,트럭,211,ton-km
2025-03-01,운송,트럭,123,ton-km
2025-04-01,운송,트럭,42,ton-km
2025-05-01,운송,트럭,123,ton-km
2025-06-01,운송,트럭,123,ton-km
2025-07-01,운송,트럭,41,ton-km
2025-08-01,운송,트럭,123,ton-km
2025-05-01,운송,트럭,12,ton-km
